Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
TSHZ3,1,0,0,0,12,1,0,0,0,14,14,14
UNC79,0,1,0,0,12,0,0,1,0,14,14,14
USF3,2,0,0,0,10,2,0,0,0,14,14,14
UTP20,1,0,0,0,13,0,0,0,0,14,14,14
ZMYM3,4,0,0,0,7,3,0,0,0,14,14,14
ATP2B1,1,0,0,0,13,3,0,0,0,17,13,13
ERICH3,0,1,0,0,14,2,0,0,0,17,13,13
MKI67,0,0,0,0,16,1,0,0,0,17,13,13
XPO1,0,1,0,0,14,1,0,1,0,17,13,13
ATR,1,0,0,0,13,1,0,1,0,16,13,13
CEP192,1,0,0,0,14,0,0,1,0,16,13,13
DOCK3,3,0,1,0,12,0,0,0,0,16,13,13
IGSF1,1,0,0,0,11,3,0,1,0,16,13,13
KIAA1549L,0,0,0,0,16,0,0,0,0,16,13,13
SUCO,0,0,0,0,13,3,0,0,0,16,13,13
ABCB11,0,0,0,0,10,5,0,0,0,15,13,13
ADAMTS20,0,0,0,0,15,0,0,0,0,15,13,13
ARHGAP35,5,0,0,0,7,3,0,0,0,15,13,13
ATXN2,1,0,0,0,12,2,0,0,0,15,13,13
CFTR,0,0,1,0,12,2,0,0,0,15,13,13
COL5A3,1,0,0,0,10,4,0,0,0,15,13,13
ITSN1,3,1,0,0,10,0,0,1,0,15,13,13
KIF13A,0,0,0,0,13,2,0,0,0,15,13,13
MYH10,0,0,0,0,15,0,0,0,0,15,13,13
MYOM2,0,1,0,0,11,3,0,0,0,15,13,13
TDRD6,2,0,0,0,13,0,0,0,0,15,13,13
TNRC6A,0,1,0,0,13,1,0,0,0,15,13,13
ACACA,0,0,0,0,12,2,0,0,0,14,13,13
ADAMTSL3,0,0,0,0,11,3,0,0,0,14,13,13
ARID2,0,1,0,0,10,3,0,0,0,14,13,13
BCL9,4,0,0,0,10,0,0,0,0,14,13,13
CARMIL3,3,0,0,0,10,0,0,1,0,14,13,13
CD163L1,0,0,0,0,13,1,0,0,0,14,13,13
CDH9,1,0,0,0,12,1,0,0,0,14,13,13
FCRL5,0,1,0,0,13,0,0,0,0,14,13,13
GRIA1,1,0,0,0,11,1,0,1,0,14,13,13
GTF3C1,4,0,0,0,8,1,0,1,0,14,13,13
HEG1,0,0,0,0,12,2,0,0,0,14,13,13
KALRN,1,0,0,0,12,1,0,0,0,14,13,13
LAMB4,0,0,1,0,11,1,0,1,0,14,13,13
LCOR,0,0,0,0,14,0,0,0,0,14,13,13
MADD,0,0,0,0,13,0,0,1,0,14,13,13
